Time (milliseconds),X,Y,Z
3549837,-112,12,-964
3549857,-116,12,-960
3549877,-108,20,-964
3549898,-116,16,-964
3549922,-116,8,-972
3549938,-120,8,-972
3549959,-116,20,-972
3549979,-116,16,-984
3549999,-124,4,-984
3550019,-124,20,-980
3550040,-120,4,-988
3550061,-120,8,-988
3550081,-116,8,-980
3550101,-116,12,-988
3550121,-120,12,-996
3550141,-116,12,-996
3550161,-108,12,-988
3550186,-112,4,-984
3550202,-120,4,-996
3550222,-104,4,-988
3550243,-116,8,-992
3550264,-112,16,-988
3550284,-112,20,-992
3550304,-112,20,-984
3550324,-112,16,-996
3550344,-116,24,-1004
3550364,-120,20,-996
3550385,-116,24,-1000
3550405,-124,32,-1004
3550430,-112,32,-1008
3550445,-124,36,-1012
3550466,-128,52,-1016
3550486,-136,52,-1024
3550506,-124,64,-1020
3550527,-132,72,-1028
3550547,-140,68,-1036
3550567,-132,68,-1044
3550588,-144,80,-1036
3550608,-140,84,-1036
3550628,-132,76,-1056
3550649,-140,84,-1048
3550674,-132,84,-1056
3550689,-136,84,-1056
3550709,-140,88,-1052
3550730,-136,100,-1052
3550750,-136,88,-1052
3550770,-140,88,-1052
3550791,-140,96,-1056
3550811,-132,88,-1056
3550831,-136,96,-1056
3550852,-132,92,-1060
3550872,-136,88,-1052
3550898,-132,92,-1052
3550913,-132,104,-1056
3550933,-132,100,-1052
3550953,-132,108,-1048
3550973,-136,100,-1056
3550994,-128,104,-1052
3551014,-132,100,-1052
3551034,-128,96,-1048
3551055,-132,92,-1048
3551075,-136,100,-1044
3551095,-128,88,-1044
3551115,-132,84,-1040
3551138,-128,92,-1028
3551156,-124,96,-1044
3551177,-124,88,-1028
3551197,-128,88,-1032
3551217,-124,88,-1028
3551237,-132,84,-1028
3551257,-124,80,-1024
3551278,-124,84,-1020
3551298,-128,80,-1016
3551318,-132,80,-1004
3551339,-128,76,-996
3551362,-124,76,-984
3551380,-128,64,-988
3551400,-124,60,-976
3551420,-120,68,-980
3551440,-124,56,-972
3551460,-116,64,-976
3551480,-112,60,-960
3551501,-124,48,-968
3551521,-120,52,-956
3551541,-116,48,-972
3551562,-120,48,-964
3551582,-108,44,-952
3551610,-112,36,-960
3551623,-112,36,-956
3551643,-104,32,-956
3551663,-104,36,-952
3551684,-104,28,-956
3551704,-108,28,-948
3551724,-104,28,-948
3551745,-104,12,-952
3551765,-108,20,-944
3551785,-100,16,-960
3551805,-108,8,-956
3551826,-108,20,-960
3551846,-100,12,-960
3551870,-104,20,-964
3551887,-112,12,-964
3551907,-116,12,-960
3551927,-112,12,-968
3551948,-112,8,-960
3551968,-108,20,-964
3551988,-116,8,-964
3552009,-112,24,-964
3552029,-116,12,-968
3552049,-116,12,-976
